Id,Ref.,Base price,Price Level,PriceLevelUnitPriceHT,PriceLevelUnitPriceTTC,MinPriceLevelUnitPriceHT,MinPriceLevelUnitPriceTTC,PriceLevelVATRate,Creation date,
343,12KT,HT,6,1.45000000,1.45000000,0.00000000,0.00000000,0.000,2023-08-25 10:58:14,
327,1KT,HT,1,0.25000000,0.25000000,,,0.000,2023-05-19 00:00:00,
327,1KT,HT,2,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
327,1KT,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
327,1KT,HT,4,8.10000000,8.10000000,,,0.000,2023-05-19 00:00:00,
327,1KT,HT,5,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
327,1KT,HT,6,1.25000000,1.25000000,,,0.000,2023-08-09 23:17:50,
327,1KT,HT,1,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:54:38,
327,1KT,HT,2,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:55:00,
327,1KT,HT,3,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:55:00,
327,1KT,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 14:55:00,
327,1KT,HT,5,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:55:00,
327,1KT,HT,6,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:55:00,
327,1KT,HT,6,1.25000000,1.25000000,0.00000000,0.00000000,0.000,2023-08-25 10:59:01,
325,2-KT_Set,HT,1,0.25000000,0.25000000,,,0.000,2023-05-19 00:00:00,
325,2-KT_Set,HT,2,5.35000000,5.35000000,,,0.000,2023-05-19 00:00:00,
325,2-KT_Set,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
325,2-KT_Set,HT,4,7.35000000,7.35000000,,,0.000,2023-05-19 00:00:00,
325,2-KT_Set,HT,5,5.35000000,5.35000000,,,0.000,2023-05-19 00:00:00,
325,2-KT_Set,HT,6,1.25000000,1.25000000,,,0.000,2023-08-09 23:17:50,
325,2-KT_Set,HT,1,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:25,
325,2-KT_Set,HT,2,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:35,
325,2-KT_Set,HT,3,7.44000000,7.44000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:35,
325,2-KT_Set,HT,4,7.35000000,7.35000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:35,
325,2-KT_Set,HT,5,5.35000000,5.35000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:35,
325,2-KT_Set,HT,6,1.25000000,1.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:35,
325,2-KT_Set,HT,3,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:53,
325,2-KT_Set,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:53,
325,2-KT_Set,HT,5,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:56:53,
329,2KT,HT,1,0.25000000,0.25000000,,,0.000,2023-05-19 00:00:00,
329,2KT,HT,2,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
329,2KT,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
329,2KT,HT,4,8.10000000,8.10000000,,,0.000,2023-05-19 00:00:00,
329,2KT,HT,5,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
329,2KT,HT,6,1.25000000,1.25000000,,,0.000,2023-08-09 23:17:50,
329,2KT,HT,1,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:36,
329,2KT,HT,2,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:56,
329,2KT,HT,3,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:56,
329,2KT,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:56,
329,2KT,HT,5,0.25000000,0.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:56,
329,2KT,HT,6,1.25000000,1.25000000,0.00000000,0.00000000,0.000,2023-08-21 14:59:56,
347,2KT___10_Breakway,HT,1,0.42000000,0.42000000,,,0.000,2023-05-19 00:00:00,
347,2KT___10_Breakway,HT,2,9.35000000,9.35000000,,,0.000,2023-05-19 00:00:00,
347,2KT___10_Breakway,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
347,2KT___10_Breakway,HT,4,12.00000000,12.00000000,,,0.000,2023-05-19 00:00:00,
347,2KT___10_Breakway,HT,5,8.60000000,8.60000000,,,0.000,2023-05-19 00:00:00,
347,2KT___10_Breakway,HT,6,1.42000000,1.42000000,,,0.000,2023-08-09 23:17:50,
347,2KT___10_Breakway,HT,1,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-25 10:59:21,
347,2KT___10_Breakway,HT,2,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-25 11:01:20,
347,2KT___10_Breakway,HT,3,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-25 11:01:20,
347,2KT___10_Breakway,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 11:01:20,
347,2KT___10_Breakway,HT,5,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-25 11:01:20,
347,2KT___10_Breakway,HT,6,1.42000000,1.42000000,0.00000000,0.00000000,0.000,2023-08-25 11:01:20,
1656,2KTT,,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:10,
1656,2KTT,HT,1,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
1656,2KTT,HT,2,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
1656,2KTT,HT,3,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
1656,2KTT,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
1656,2KTT,HT,5,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
1656,2KTT,HT,6,1.35000000,1.35000000,0.00000000,0.00000000,0.000,2023-08-25 11:14:59,
365,2ND SIDE PERSONALIZATION,HT,1,2.50000000,2.50000000,,,0.000,2023-05-19 00:00:00,
365,2ND SIDE PERSONALIZATION,HT,2,9.35000000,9.35000000,,,0.000,2023-05-19 00:00:00,
365,2ND SIDE PERSONALIZATION,HT,3,2.50000000,2.50000000,,,0.000,2023-05-19 00:00:00,
365,2ND SIDE PERSONALIZATION,HT,4,12.00000000,12.00000000,,,0.000,2023-05-19 00:00:00,
365,2ND SIDE PERSONALIZATION,HT,5,2.50000000,2.50000000,,,0.000,2023-05-19 00:00:00,
365,2ND SIDE PERSONALIZATION,HT,1,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-05-19 20:33:43,
365,2ND SIDE PERSONALIZATION,HT,6,3.50000000,3.50000000,,,0.000,2023-08-09 23:17:50,
1657,2ND_SIDE_PERSONALIZATION,,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 11:29:55,
1657,2ND_SIDE_PERSONALIZATION,HT,1,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
1657,2ND_SIDE_PERSONALIZATION,HT,2,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
1657,2ND_SIDE_PERSONALIZATION,HT,3,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
1657,2ND_SIDE_PERSONALIZATION,HT,4,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
1657,2ND_SIDE_PERSONALIZATION,HT,5,2.50000000,2.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
1657,2ND_SIDE_PERSONALIZATION,HT,6,3.50000000,3.50000000,0.00000000,0.00000000,0.000,2023-08-25 11:30:29,
331,3KT,HT,1,0.27000000,0.27000000,,,0.000,2023-05-19 00:00:00,
331,3KT,HT,2,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
331,3KT,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
331,3KT,HT,4,8.10000000,8.10000000,,,0.000,2023-05-19 00:00:00,
